ID,CourseContentId,IdContent,QuestionType,QuestionContent,AAnsver,BAnswer,CAnswer,DAnswer,Answer,ResultAnswer,
11,Module 3. Sáng tạo nội dung số,3,1,Nhược điểm của định dạng nội dung Video là gì?,Tốn công sản xuất,Cần thời gian đọc,Phức tạp khi tạo,Bậc 4 đến bậc 5,A,Tốn công sản xuất,
12,Module 3. Sáng tạo nội dung số,3,1,Tiêu chí nào KHÔNG phải là tiêu chí để lựa chọn loại nội dung phù hợp?,Tính năng xác thực bằng vân tay (Touch ID).,Đọc kỹ toàn bộ tin nhắn trước khi trả lời,Sở thích cá nhân của người tạo nội dung,Không có vấn đề gì nếu bạn ghi nguồn.,C,Sở thích cá nhân của người tạo nội dung,
13,Module 3. Sáng tạo nội dung số,3,1,Việc lập kế hoạch nội dung được ví như là gì cho hoạt động sáng tạo?,"Một ""bộ khung"" vững chắc","Một ""nền móng"" vững chắc","Một ""bản đồ"" chỉ đường","Một ""công thức"" thành công",A,"Một ""bộ khung"" vững chắc",
14,Module 3. Sáng tạo nội dung số,3,1,"Yếu tố nào sau đây KHÔNG phải là một tiêu chí của ""nội dung có giá trị thật sự""?","Quét, Nhận dạng, Lọc và Tin tưởng.",Cuộc khủng hoảng tài chính toàn cầu.,Luôn tạo ra tranh cãi để thu hút chú ý,Lỗi Thời gian chạy (Runtime Errors),C,Luôn tạo ra tranh cãi để thu hút chú ý,
15,Module 3. Sáng tạo nội dung số,3,1,Công cụ nào được gợi ý để hỗ trợ việc viết nội dung hấp dẫn?,Grammarly,CapCut,Canva,Audacity,A,Grammarly,
16,Module 3. Sáng tạo nội dung số,3,1,"Để thiết kế hình ảnh bắt mắt, công cụ nào sau đây được gợi ý cho người mới bắt đầu?",Canva,Cơ bắp.,Delay,Veracity,A,Canva,
17,Module 3. Sáng tạo nội dung số,3,1,CapCut và KineMaster là các công cụ hỗ trợ cho việc gì?,Quay/chỉnh sửa video trên di động,Chỉnh sửa âm thanh chuyên nghiệp,Không thích phong cách của tác giả,Dừng chương trình khi có lỗi xảy ra.,A,Quay/chỉnh sửa video trên di động,
18,Module 3. Sáng tạo nội dung số,3,1,Giai đoạn nào quyết định phần lớn sự thành công của nội dung?,Chất lượng sản xuất,Dữ liệu (Data).,Phân tích đối tượng,Phân phối nội dung,A,Chất lượng sản xuất,
19,Module 3. Sáng tạo nội dung số,3,1,"""Tích hợp và tạo lập lại nội dung số"" là gì?","Rà soát, đánh giá tài nguyên nội dung đã có, đồng thời cung cấp phương pháp thiết kế khung và biên tập, chuyển đổi nội dung sang các định dạng mới phù hợp.",Tập trung vào việc sản xuất các loại nội dung mới.,Cung cấp kiến thức về bản quyền và giấy phép.,Hướng dẫn lập trình Python cơ bản.,A,"Rà soát, đánh giá, thiết kế lại và biên tập nội dung đã có.",
20,Module 3. Sáng tạo nội dung số,3,1,Bước đầu tiên trong quy trình rà soát và đánh giá nội dung đã có là gì?,Thu thập tất cả nội dung số liên quan.,Chỉ từ thông tin người dùng tự khai báo,Đánh giá độ phù hợp của nội dung.,Hệ thống miễn dịch (An ninh mạng).,A,Thu thập tất cả nội dung số liên quan.,
21,Module 3. Sáng tạo nội dung số,3,1,"""Evergreen content"" (Nội dung xanh) là loại nội dung gì?","Nội dung có giá trị bền vững, không lỗi thời.",Nội dung cần được cập nhật thường xuyên.,Nội dung đã lỗi thời và không còn phù hợp.,Nội dung chỉ có giá trị trong một thời gian ngắn.,A,"Nội dung có giá trị bền vững, không lỗi thời.",
22,Module 3. Sáng tạo nội dung số,3,1,Tiêu chí nào được xem là quan trọng nhất khi phân loại nội dung đã có?,Độ cập nhật,Định dạng,Chủ đề,Nguồn gốc,A,Độ cập nhật,
23,Module 3. Sáng tạo nội dung số,3,1,"Khi đánh giá độ phù hợp của nội dung, câu hỏi nào sau đây KHÔNG cần đặt ra?",Nội dung này có được nhiều lượt thích không?,Nội dung có phù hợp với mục tiêu mới không?,Để tối ưu hóa tốc độ xử lý của máy tính.,Đối tượng mục tiêu có trùng khớp không?,A,Nội dung này có được nhiều lượt thích không?,
24,Module 3. Sáng tạo nội dung số,3,1,Lợi ích của việc rà soát và đánh giá nội dung là gì?,"Tiết kiệm nguồn lực, tăng hiệu quả, đảm bảo chất lượng.",Đưa ra phản hồi dựa trên sự hiểu biết đầy đủ về vấn đề,Tập hợp các tệp tính toán Excel đã được phân loại cụ thể,Kẻ tấn công sử dụng một chìa khóa đa năng để bẻ khóa mã.,A,"Tiết kiệm nguồn lực, tăng hiệu quả, đảm bảo chất lượng.",
25,Module 3. Sáng tạo nội dung số,3,1,Công cụ nào KHÔNG được dùng để xây dựng khung nội dung mới?,Biểu đồ cột (Column Chart),Creative Commons (CC),Giao tiếp và cộng tác.,Bảng màu (Color Palette),D,Bảng màu (Color Palette),
26,Module 3. Sáng tạo nội dung số,3,1,Storyboard thường được sử dụng cho loại nội dung nào?,Nội dung hình ảnh/video,Biểu đồ tròn (Pie Chart),Podcast và nội dung âm thanh,Ngôn ngữ của thông tin,A,Nội dung hình ảnh/video,
27,Module 3. Sáng tạo nội dung số,3,1,Yếu tố nào KHÔNG cần có trong một khung storyboard?,Mô tả chi tiết về chi phí sản xuất,Bán các lỗ hổng bảo mật cho chính phủ.,Luôn bật webcam khi chia sẻ màn hình,"Mức thu nhập, trình độ học vấn",A,Mô tả chi tiết về chi phí sản xuất,
28,Module 3. Sáng tạo nội dung số,3,1,"Kỹ thuật nào KHÔNG được đề cập khi ""điền"" nội dung cũ vào dàn ý mới?",Viết lại hoàn toàn nội dung cũ,Chỉ từ các tài khoản mạng xã hội,Rút trích (lấy thông tin cốt lõi),Phải trả tiền cho mỗi lần sử dụng,A,Viết lại hoàn toàn nội dung cũ,
29,Module 3. Sáng tạo nội dung số,3,1,Lợi ích của việc thiết kế khung nội dung trước khi sản xuất là gì?,"Tiết kiệm thời gian, đảm bảo tính logic, tối ưu hóa tái sử dụng nội dung.","VR yêu cầu sử dụng kính đặc biệt, trong khi AR chỉ cần điện thoại thông minh.",Để giúp người dùng dễ dàng ghi nhớ mật khẩu nào dành cho tài khoản nào.,Kẻ tấn công sử dụng các từ trong nhiều ngôn ngữ khác nhau để đoán mật khẩu.,A,"Tiết kiệm thời gian, đảm bảo tính logic, tối ưu hóa tái sử dụng nội dung.",
30,Module 3. Sáng tạo nội dung số,3,2,"Giai đoạn ""biến kế hoạch thành hành động"" hay ""hiện thực hóa bản thiết kế"" là giai đoạn nào?",Biên tập và chuyển đổi nội dung,Rà soát và đánh giá nội dung,Tối ưu hóa công cụ tìm kiếm (SEO).,Phân tích mục tiêu và đối tượng,A,Biên tập và chuyển đổi nội dung,
31,Module 3. Sáng tạo nội dung số,3,2,"""Chuẩn hóa ngôn ngữ, tông giọng, định dạng"" nhằm mục đích gì?","Đảm bảo sự nhất quán, chuyên nghiệp và dễ đọc.",Làm cho nội dung trở nên độc đáo và khác biệt.,Chuyển tiếp email cho bạn bè để hỏi ý kiến.,Thuật toán được sử dụng để mã hóa dữ liệu.,A,"Đảm bảo sự nhất quán, chuyên nghiệp và dễ đọc.",
32,Module 3. Sáng tạo nội dung số,3,2,"Kỹ thuật ""Repurpose"" trong biên tập nội dung có nghĩa là gì?",Biến đổi nội dung từ định dạng này sang định dạng khác.,"Cung cấp việc theo dõi các sự kiện (""dấu vết kiểm toán"").",Chỉ kết bạn với những người có cùng quan điểm với mình.,Tín hiệu giữa chìa khóa và xe ô tô không được mã hóa.,A,Biến đổi nội dung từ định dạng này sang định dạng khác.,
33,Module 3. Sáng tạo nội dung số,3,2,Công cụ nào được gợi ý để biên tập hình ảnh/infographic?,"Canva, Adobe Express",Lọc theo số lượt xem,"Audacity, Adobe Audition","CapCut, KineMaster",A,"Canva, Adobe Express",
34,Module 3. Sáng tạo nội dung số,3,2,DaVinci Resolve và Adobe Premiere Pro là công cụ chuyên nghiệp cho việc gì?,Chỉnh sửa video trên máy tính,Thay thế cho phần mềm diệt virus,Biểu đồ vùng (Area Chart),Tìm cách lách các điều khoản,A,Chỉnh sửa video trên máy tính,
35,Module 3. Sáng tạo nội dung số,3,2,Quá trình biên tập được ví như là gì?,"Quá trình ""điêu khắc"" nội dung để đạt được mục tiêu.",Không can thiệp vào các cuộc trò chuyện song song,Các thành viên làm việc cùng nhau tại cùng một thời điểm,Sẵn sàng trả tiền để bảo vệ quyền riêng tư của mình.,A,"Quá trình ""điêu khắc"" nội dung để đạt được mục tiêu.",
36,Module 3. Sáng tạo nội dung số,3,2,"Mục tiêu của Module 3: ""Thực thi bản quyền và giấy phép"" là gì?",Kẻ tấn công sử dụng các từ trong nhiều ngôn ngữ khác nhau để đoán mật khẩu.,"Giúp sinh viên nhận diện, kiểm tra và áp dụng đúng các quy định về bản quyền.",Trồng được các loại cây trồng mới không phù hợp với điều kiện địa phương.,Trả lời email để xác nhận thông tin trước khi thực hiện bất kỳ hành động nào.,B,"Giúp sinh viên nhận diện, kiểm tra và áp dụng đúng các quy định về bản quyền.",
37,Module 3. Sáng tạo nội dung số,3,2,"Theo tài liệu, bản quyền (Copyright) là gì?","VR là một công nghệ cũ, trong khi AR là một công nghệ mới.",Quyền pháp lý tự động trao cho người tạo ra một tác phẩm gốc.,Cần hỏi ý kiến và nhận được đồng ý của các thành viên mới chia sẻ,Thay đổi thứ tự các dòng theo giá trị tăng dần hoặc giảm dần,B,Quyền pháp lý tự động trao cho người tạo ra một tác phẩm gốc.,
38,Module 3. Sáng tạo nội dung số,3,2,Nội dung nào sau đây KHÔNG được bảo hộ bởi bản quyền?,Thiếu các chương trình thu gom và tái chế hiệu quả.,Một ý tưởng chưa được thể hiện thành sản phẩm cụ thể,Khối lượng dữ liệu mang tính tổng hợp để suy luận,Thay thế hoàn toàn việc giao tiếp giữa các thành viên,B,Một ý tưởng chưa được thể hiện thành sản phẩm cụ thể,
39,Module 3. Sáng tạo nội dung số,3,2,"""Miễn phí xem"" trên Internet có đồng nghĩa với ""miễn phí sử dụng"" không?",Chơi game trên điện thoại trong nhiều giờ liên tục.,"Không, việc xem không có nghĩa là có quyền sử dụng lại.",Quyền truy cập vào dữ liệu của tất cả người dùng khác.,"Chỉ áp dụng với hình ảnh, không áp dụng với video.",B,"Không, việc xem không có nghĩa là có quyền sử dụng lại.",
40,Module 3. Sáng tạo nội dung số,3,2,Watermark (logo mờ) trên hình ảnh là một dấu hiệu của điều gì?,Để biết người trả lời có nhiều thời gian rảnh không,Hình ảnh có khả năng cao đang được bảo hộ bản quyền.,Quyền đăng tải mọi thông tin không cần kiểm chứng,Loại bỏ những phần không cần thiết của nội dung.,B,Hình ảnh có khả năng cao đang được bảo hộ bản quyền.,
41,Module 3. Sáng tạo nội dung số,3,2,Việc sao chép nguyên văn một đoạn dài từ blog khác mà không trích dẫn có được coi là vi phạm bản quyền không?,"Không, nếu blog đó không ghi rõ ""bản quyền"".","Có, đây là hành vi sao chép trái phép.","Không, nếu chỉ sao chép một phần nhỏ.",Không thể xử lý dữ liệu dạng văn bản,B,"Có, đây là hành vi sao chép trái phép.",
42,Module 3. Sáng tạo nội dung số,3,2,Sử dụng logo của một thương hiệu khác trong nội dung của bạn mà không được phép có thể dẫn đến hậu quả gì?,Hoàn toàn không có giá trị phân tích trong thực tế,Gây nhầm lẫn về việc hợp tác và có thể bị kiện.,Cung cấp kiến thức về bản quyền và giấy phép.,Việc hoàn toàn từ bỏ công nghệ để bảo vệ sức khỏe.,B,Gây nhầm lẫn về việc hợp tác và có thể bị kiện.,
43,Module 3. Sáng tạo nội dung số,3,2,Công cụ nào có thể giúp truy tìm nguồn gốc của một bức ảnh?,Sử dụng phần mềm trình chiếu.,Google Reverse Image Search,Chỉ dành cho trưởng nhóm,"Bootstrap, JQuery, Vue.js.",B,Google Reverse Image Search,
44,Module 3. Sáng tạo nội dung số,3,2,Creative Commons (CC) là gì?,Tranh luận công khai trên kênh chat chung cho đến khi có người thắng cuộc,Một loại giấy phép cho phép sử dụng miễn phí tác phẩm dưới một số điều kiện.,"Lọc thay đổi thứ tự các dòng, còn Sắp xếp chỉ hiển thị dữ liệu thỏa điều kiện",Trồng được các loại cây trồng mới không phù hợp với điều kiện địa phương.,B,Một loại giấy phép cho phép sử dụng miễn phí tác phẩm dưới một số điều kiện.,
45,Module 3. Sáng tạo nội dung số,3,2,Trang web nào sau đây KHÔNG phải là kho tài nguyên hình ảnh miễn phí uy tín được đề cập?,Unsplash,Pinterest,Pexels,Pixabay,B,Pinterest,
46,Module 3. Sáng tạo nội dung số,3,2,YouTube Audio Library cung cấp tài nguyên gì?,Tập trung vào việc sản xuất các loại nội dung mới.,Âm nhạc/âm thanh miễn phí và an toàn để sử dụng.,Chia sẻ mọi thông tin mà không cần kiểm chứng,Các tệp tin bảng tính Excel được lưu trữ trên máy,B,Âm nhạc/âm thanh miễn phí và an toàn để sử dụng.,
47,Module 3. Sáng tạo nội dung số,3,2,Hậu quả của việc vi phạm bản quyền có thể là gì?,Chỉ sử dụng các ký tự đặc biệt để nổi bật,"Bị gỡ bỏ nội dung, khóa tài khoản, kiện tụng.",Chiếm quá nhiều diện tích trong các bãi chôn lấp.,Sử dụng chế độ màn hình xám để giảm sự hấp dẫn.,B,"Bị gỡ bỏ nội dung, khóa tài khoản, kiện tụng.",
48,Module 3. Sáng tạo nội dung số,3,2,Loại giấy phép nào có các quy định nghiêm ngặt nhất?,"Mất ngủ, khó tập trung và hay cáu kỉnh.",Bản quyền đầy đủ (All Rights Reserved - ©),Sự chậm trễ trong việc cập nhật bảo mật.,Một công cụ để kiểm tra bản quyền video.,B,Bản quyền đầy đủ (All Rights Reserved - ©),
49,Module 3. Sáng tạo nội dung số,3,2,Public Domain (Miền công cộng) có nghĩa là gì?,Tài trợ cho các dự án nghiên cứu của các nhà khoa học công dân.,Tác phẩm không còn được bảo hộ bản quyền và có thể sử dụng tự do.,Tháo dỡ các thiết bị cũ để lấy các linh kiện còn sử dụng được.,Gây ô nhiễm nguồn nước do sử dụng hóa chất trong quá trình khai thác.,B,Tác phẩm không còn được bảo hộ bản quyền và có thể sử dụng tự do.,
50,Module 3. Sáng tạo nội dung số,3,2,Bộ lọc quyền sử dụng (usage rights) có trong công cụ tìm kiếm nào?,Mất kết nối Internet,Google Advanced Search,Chuỗi khối (Blockchain).,Sự chính xác của dữ liệu,B,Google Advanced Search,
51,Module 3. Sáng tạo nội dung số,3,2,"Khi tra cứu giấy phép, thông tin nào KHÔNG cần thiết phải ghi lại?","Bootstrap, JQuery, Vue.js.",Cảm nhận cá nhân về tác phẩm.,Video từ kênh Microsoft Learn,Các nhóm tội phạm có tổ chức.,B,Cảm nhận cá nhân về tác phẩm.,
52,Module 3. Sáng tạo nội dung số,3,2,Lợi ích của việc kiểm tra giấy phép là gì?,Để xây dựng các tòa nhà có khả năng chống chịu thiên tai.,"Tôn trọng tác giả, bảo vệ bản thân khỏi rủi ro pháp lý.","Strategic, Modern, Appealing, Realistic, Thoughtful.",4 khâu: Lên ý tưởng - Thiết kế - Lập trình - Bảo trì.,B,"Tôn trọng tác giả, bảo vệ bản thân khỏi rủi ro pháp lý.",
53,Module 3. Sáng tạo nội dung số,3,2,"Quy tắc ghi nguồn ""TRAS"" là viết tắt của những từ nào?",Giảm tính bảo mật của tài khoản,"Title, Creator, Attribution, Source",Phân loại nội dung theo chủ đề.,"Text, Resolution, Audio, Speed",B,"Title, Creator, Attribution, Source",
54,Module 3. Sáng tạo nội dung số,3,2,"Theo quy tắc ""TRAS"", chữ ""A"" (Attribution) yêu cầu điều gì?",Lập kế hoạch tài chính cho bệnh viện.,Dẫn link đến nguồn gốc của tác phẩm.,Quy trình rà soát và đánh giá nội dung,Câu trả lời có nhiều hình ảnh nhất,B,Dẫn link đến nguồn gốc của tác phẩm.,
55,Module 3. Sáng tạo nội dung số,3,2,Khi nào bạn cần gửi email xin phép sử dụng nội dung?,"VR yêu cầu sử dụng kính đặc biệt, trong khi AR chỉ cần điện thoại thông minh.",Khi muốn sử dụng ngoài điều kiện của giấy phép hoặc nội dung có bản quyền đầy đủ.,"Mật mã học là một kỹ thuật cũ, trong khi steganography là một kỹ thuật hiện đại.",Trả lời email để xác nhận thông tin trước khi thực hiện bất kỳ hành động nào.,B,Khi muốn sử dụng ngoài điều kiện của giấy phép hoặc nội dung có bản quyền đầy đủ.,
56,Module 3. Sáng tạo nội dung số,3,2,Nội dung nào KHÔNG cần có trong một email xin phép bản quyền?,Giới thiệu bản thân và mục đích sử dụng.,Yêu cầu tác giả cung cấp các tác phẩm khác.,Mô tả chi tiết nội dung muốn sử dụng.,"Hỏi rõ về điều khoản, phí sử dụng (nếu có).",B,Yêu cầu tác giả cung cấp các tác phẩm khác.,
57,Module 3. Sáng tạo nội dung số,3,2,"Trong trường hợp không thể liên hệ tác giả hoặc bị từ chối cấp phép, giải pháp an toàn là gì?",Tìm mọi cách chỉnh sửa lại hình ảnh trước khi sử dụng,Tìm nội dung thay thế từ nguồn có bản quyền rõ ràng.,Các tệp tin bảng tính Excel được lưu trữ trên máy,Sử dụng một cặp khóa công khai và khóa riêng tư.,B,Tìm nội dung thay thế từ nguồn có bản quyền rõ ràng.,
58,Module 3. Sáng tạo nội dung số,3,2,Việc tuân thủ bản quyền giúp xây dựng điều gì?,Sinh viên hiểu về các loại giấy phép bản quyền.,Một hệ sinh thái sáng tạo công bằng và bền vững.,Loại bỏ hoàn toàn nhu cầu biên tập sau sản xuất.,Nó chỉ cần thiết cho các chuyên gia công nghệ.,B,Một hệ sinh thái sáng tạo công bằng và bền vững.,
59,Module 3. Sáng tạo nội dung số,3,2,Tại sao một người làm nội dung lại cần biết lập trình?,Để có thể tự sửa chữa máy tính khi gặp sự cố.,"Để tự động hóa công việc, tạo nội dung tương tác.",Báo cáo tài khoản của người có ý kiến trái chiều,Loại bỏ những phần không cần thiết của nội dung.,B,"Để tự động hóa công việc, tạo nội dung tương tác.",
60,Module 3. Sáng tạo nội dung số,3,3,Lý do chọn Python là gì?,Tốc độ thực thi nhanh nhất.,"Dễ học, cộng đồng lớn, đa năng.",Các sản phẩm phần mềm miễn phí,"Độ tuổi, giới tính, nơi sinh sống",B,"Dễ học, cộng đồng lớn, đa năng.",
61,Module 3. Sáng tạo nội dung số,3,3,Công cụ online nào được gợi ý để bắt đầu lập trình Python mà không cần cài đặt?,VS Code,Google Colab,PyCharm,Sublime Text,B,Google Colab,
62,Module 3. Sáng tạo nội dung số,3,3,"""Biến"" (Variable) trong lập trình dùng để làm gì?",Thực hiện các phép tính toán học.,"Lưu trữ thông tin (văn bản, số, logic).",Cuộc khủng hoảng tài chính toàn cầu.,Đưa ra quyết định dựa trên điều kiện.,B,"Lưu trữ thông tin (văn bản, số, logic).",
63,Module 3. Sáng tạo nội dung số,3,3,Cấu trúc dữ liệu nào dùng để tổ chức một chuỗi các mục?,Variable (Biến),Dictionary (Từ điển),List (Danh sách),Phân tích đối tượng,C,List (Danh sách),
64,Module 3. Sáng tạo nội dung số,3,3,"""Dictionary"" (Từ điển) trong Python dùng để làm gì?",Giảm thời gian lập kế hoạch cho nội dung mới.,Tự động cập nhật phần mềm cho tất cả thiết bị.,Tổ chức dữ liệu có cấu trúc theo cặp key-value.,Dịch văn bản từ ngôn ngữ này sang ngôn ngữ khác.,C,Tổ chức dữ liệu có cấu trúc theo cặp key-value.,
65,Module 3. Sáng tạo nội dung số,3,3,"Vòng lặp ""for"" được sử dụng để làm gì?",Kiểm tra xem một điều kiện có đúng hay không.,Loại bỏ những phần không cần thiết của nội dung.,Xử lý tác vụ lặp đi lặp lại trên một chuỗi dữ liệu.,Lướt mạng xã hội vô định mà không có mục đích cụ thể.,C,Xử lý tác vụ lặp đi lặp lại trên một chuỗi dữ liệu.,
66,Module 3. Sáng tạo nội dung số,3,3,"Câu lệnh ""if-else"" giúp chương trình làm gì?",Chuyển đổi nội dung sang định dạng mới,"Có, mọi thứ miễn phí xem đều có thể sử dụng.",Đưa ra quyết định dựa trên một điều kiện.,Thay đổi hoàn toàn mục tiêu của nội dung,C,Đưa ra quyết định dựa trên một điều kiện.,
67,Module 3. Sáng tạo nội dung số,3,3,"Các khái niệm Biến, List, Dictionary, For, If-else được ví như là gì?",Dữ liệu được thu thập từ các trang mạng xã hội.,Tạo dựng hình ảnh và giá trị cho thương hiệu,Những viên gạch nền tảng để xây dựng ứng dụng.,Không được thay đổi hay chỉnh sửa tác phẩm,C,Những viên gạch nền tảng để xây dựng ứng dụng.,
68,Module 3. Sáng tạo nội dung số,3,3,Quy trình phát triển phần mềm được giới thiệu gồm mấy khâu chính?,Thông tin đúng được chia sẻ sai thời điểm,Làm cho nội dung dài hơn và chi tiết hơn,3 khâu: Thiết kế - Cài đặt - Kiểm thử.,Cố gắng tự mình giải quyết vấn đề.,C,3 khâu: Thiết kế - Cài đặt - Kiểm thử.,
69,Module 3. Sáng tạo nội dung số,3,3,"Giai đoạn ""Thiết kế"" trong phát triển phần mềm nhấn mạnh điều gì?",Chơi game trên điện thoại trong nhiều giờ liên tục.,Điện thoại thông minh (smartphones) chạy Android.,"Lập kế hoạch trước khi code, ""Đo 7 lần, cắt 1 lần"".",Bỏ qua quy trình cũ và làm theo cách hoàn toàn mới,C,"Lập kế hoạch trước khi code, ""Đo 7 lần, cắt 1 lần"".",
70,Module 3. Sáng tạo nội dung số,3,3,"""Pseudocode"" (mã giả) là gì?",Giả danh một nhân vật có quyền uy để ra lệnh cho nạn nhân.,Tốc độ mã hóa nhanh hơn và tốn ít tài nguyên hệ thống hơn.,Viết các bước thực hiện của thuật toán bằng ngôn ngữ tự nhiên.,Vi phạm quyền riêng tư của những người đã gửi email lừa đảo.,C,Viết các bước thực hiện của thuật toán bằng ngôn ngữ tự nhiên.,
71,Module 3. Sáng tạo nội dung số,3,3,"Giai đoạn ""Cài đặt"" (Implementation) trong phát triển phần mềm là gì?",Quyền thay đổi dữ liệu của người khác mà không cần sự cho phép.,"Kỹ năng công nghệ, nhận thức kỹ thuật số, trách nhiệm công dân số.",Giai đoạn chuyển thể bản thiết kế thành các dòng code thực tế.,Bảng tính thống kê và liệt kê giá trị đơn chiếc của sản phẩm,C,Giai đoạn chuyển thể bản thiết kế thành các dòng code thực tế.,
72,Module 3. Sáng tạo nội dung số,3,3,"Mục đích chính của giai đoạn ""Kiểm thử"" (Testing) là gì?",Thu thập rác thải để tái chế và bảo vệ môi trường.,Không can thiệp vào các cuộc trò chuyện song song,Đảm bảo sản phẩm hoạt động đúng và tìm ra lỗi.,Giúp bạn có nhiều lượt thích và tương tác hơn.,C,Đảm bảo sản phẩm hoạt động đúng và tìm ra lỗi.,
73,Module 3. Sáng tạo nội dung số,3,3,Việc tuân thủ quy trình phát triển phần mềm mang lại lợi ích gì?,"Chỉ phù hợp với các dự án lớn của Google, Facebook.",Mức độ bảo mật thấp hơn so với thuật toán băm.,"Giảm lỗi, dễ bảo trì, làm việc nhóm hiệu quả.",Hạn chế sự sáng tạo của lập trình viên.,C,"Giảm lỗi, dễ bảo trì, làm việc nhóm hiệu quả.",
74,Module 3. Sáng tạo nội dung số,3,3,"Khóa học ""Nâng cao năng lực kiến tạo sản phẩm"" hướng tới mục tiêu đạt năng lực số bậc mấy?",Bậc 1 đến bậc 2,Bậc 3 đến bậc 4,Bậc 5 đến bậc 6,Bậc 4 đến bậc 5,C,Bậc 5 đến bậc 6,
75,Module 3. Sáng tạo nội dung số,3,3,Khóa học được triển khai theo hình thức nào?,Tư duy phản biện,Trực tiếp tại lớp học,Trực tuyến hoàn toàn,Tự học qua sách giáo khoa,C,Trực tuyến hoàn toàn,
76,Module 3. Sáng tạo nội dung số,3,3,Phân tích đối tượng giúp tùy chỉnh yếu tố nào?,Công cụ và nhân sự thực hiện,Chi phí và thời gian sản xuất,Nội dung và kênh phân phối,Cuộc họp video qua zoom,C,Nội dung và kênh phân phối,
