ID,CourseContentId,IdContent,QuestionType,QuestionContent,AAnsver,BAnswer,CAnswer,DAnswer,Answer,ResultAnswer,
17,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,Công nghệ IoMT (Internet of Medical Things) giúp gì trong lĩnh vực y tế?,"Kỹ năng công nghệ, nhận thức kỹ thuật số, trách nhiệm công dân số.",Các thiết bị số có khả năng kết nối với nhau qua mạng internet.,Giúp mọi công dân dễ dàng tiếp cận các dịch vụ chăm sóc sức khỏe.,Cung cấp các bộ công cụ khai thác (exploit kits) cho Script Kiddies.,C,Giúp mọi công dân dễ dàng tiếp cận các dịch vụ chăm sóc sức khỏe.,
18,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,"Trong lĩnh vực nông nghiệp, ứng dụng AI Sowing App powered dựa trên Microsoft Cortana Intelligence Suite giúp nông dân làm gì?",Tự động hóa hoàn toàn việc thu hoạch mùa màng.,Gửi lời khuyên về ngày tối ưu để gieo hạt.,Không có trích dẫn hay dữ liệu minh chứng,Xây dựng chiến lược marketing nông sản.,B,Gửi lời khuyên về ngày tối ưu để gieo hạt.,
19,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,Rô bốt nông nghiệp ứng dụng AI thường được lập trình để thực hiện nhiệm vụ gì?,Thiết kế cảnh quan nông trại.,Thu hoạch mùa màng công suất lớn.,Phân tích xu hướng thị trường nông sản.,Quản lý chuỗi cung ứng toàn cầu.,B,Thu hoạch mùa màng công suất lớn.,
20,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,"Trong quản lý đại lý bán lẻ, ứng dụng AI có thể tối ưu hóa hoạt động kinh doanh trong các lĩnh vực nào?",Góp phần xây dựng cộng đồng mạng an toàn và lành mạnh,Lập kế hoạch chuỗi cung ứng và dự báo nhu cầu khách hàng.,Xây dựng thương hiệu và quản lý khủng hoảng truyền thông.,Gây ra các cơn ác mộng và làm gián đoạn chu kỳ giấc ngủ.,B,Lập kế hoạch chuỗi cung ứng và dự báo nhu cầu khách hàng.,
21,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,"Trong lĩnh vực bán lẻ, AI có thể giúp gia tăng doanh số bằng cách nào?",Thu thập càng nhiều dữ liệu càng tốt để phục vụ cho các mục đích trong tương lai.,Dự báo các hoạt động làm tăng doanh số bán hàng (ví dụ: phương thức trả sau).,Kẻ tấn công sử dụng lỗi chính tả trong mật khẩu để làm cho chúng khó đoán hơn.,Kẻ tấn công cài đặt phần mềm gián điệp để ghi lại mật khẩu khi người dùng gõ.,B,Dự báo các hoạt động làm tăng doanh số bán hàng (ví dụ: phương thức trả sau).,
22,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,"Trong đời sống cá nhân, ứng dụng AI trên thiết bị thông minh có thể hỗ trợ nhiệm vụ gì?",Kẻ tấn công sử dụng một chìa khóa đa năng để bẻ khóa mã.,Theo dõi sức khỏe hàng ngày và nhắc nhở lịch công tác.,Sử dụng các công cụ tấn công đơn giản và dễ bị phát hiện.,Tốc độ mã hóa nhanh hơn và tốn ít tài nguyên hệ thống hơn.,B,Theo dõi sức khỏe hàng ngày và nhắc nhở lịch công tác.,
23,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,Công nghệ nào là ví dụ về hệ thống thông minh được điều khiển bằng giọng nói và được tích hợp vào Windows 10?,Google Drive.,Siri.,Alexa.,Cortana.,D,Cortana.,
24,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,Cortana được tích hợp vào Windows 10 cho phép thực hiện chức năng tự động nào?,Thuật toán được sử dụng để mã hóa dữ liệu.,Tìm kiếm tập tin trên thiết bị và mở ứng dụng.,Tự động sao lưu toàn bộ dữ liệu máy tính.,Sử dụng một cặp khóa công khai và khóa riêng tư.,B,Tìm kiếm tập tin trên thiết bị và mở ứng dụng.,
25,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,"Natural Language Generation (NLG), một lĩnh vực con của AI, được ứng dụng điển hình trong việc gì?",Đánh cắp danh tính và tấn công bằng mã độc.,Phân tích tín hiệu điện toán đám mây.,Phân loại văn bản (ví dụ: thư rác - spam).,Kết hợp các phần nội dung khác nhau lại.,C,Phân loại văn bản (ví dụ: thư rác - spam).,
26,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,Speech recognition (nhận dạng giọng nói) là công nghệ mà ở đó máy tính được sử dụng để làm gì?,"Xác thực (Authentication), Ủy quyền (Authorization), Ghi nhận (Accounting).",Nắm bắt các cuộc trò chuyện với con người và chuyển đổi thành các mệnh lệnh.,Một sai sót hoặc điểm yếu cho phép kẻ tấn công vượt qua hàng rào an ninh.,Việc nâng cao nhận thức về môi trường lại khiến người ta tiêu thụ nhiều hơn.,B,Nắm bắt các cuộc trò chuyện với con người và chuyển đổi thành các mệnh lệnh.,
27,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,Ứng dụng Microsoft Connected Life có mục đích gì trong hệ thống tự động hóa nhà thông minh?,"Cho phép các thiết bị gia dụng (đèn, TV) được điều khiển từ bất kỳ thiết bị Windows nào.",Quản lý tài nguyên phần cứng và cung cấp môi trường cho các ứng dụng khác hoạt động.,Giảm dung lượng lưu trữ cần thiết cho các loại dữ liệu phức tạp như video và hình ảnh.,Kẻ tấn công tìm kiếm định nghĩa của các từ liên quan đến người dùng để đoán mật khẩu.,A,"Cho phép các thiết bị gia dụng (đèn, TV) được điều khiển từ bất kỳ thiết bị Windows nào.",
28,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,AI trong lĩnh vực nông nghiệp ứng dụng Thị giác máy tính (Computer Vision) kết hợp Học sâu (Deep Learning) để theo dõi điều gì?,Đảm bảo thông tin là chính xác và không bị thay đổi.,Tình trạng phát triển của cây trồng và sâu bệnh.,Tăng cường sử dụng các công cụ phần mềm văn phòng.,Một loại giấy phép phải đăng ký để được bảo hộ.,B,Tình trạng phát triển của cây trồng và sâu bệnh.,
29,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,Ứng dụng AI vào hệ thống nhà thông minh trong tương lai sẽ học thói quen cuộc sống cá nhân của người dùng để làm gì?,Tạo ra một chu trình sản xuất và tiêu dùng liên tục không có điểm dừng.,Cung cấp hướng dẫn sửa chữa chi tiết cho tất cả các loại thiết bị.,Thay thế người dùng để điều khiển các thiết bị phù hợp theo thói quen.,Quét hệ thống để tìm kiếm các lỗ hổng bảo mật và đề xuất các bản vá.,C,Thay thế người dùng để điều khiển các thiết bị phù hợp theo thói quen.,
30,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,"Trong lĩnh vực nông nghiệp, mục tiêu của việc ứng dụng AI là gì?",Giảm sự phụ thuộc vào các nguồn tài nguyên tái tạo.,Cách thức lưu trữ cũng như định dạng văn bản hiển thị,Dự đoán năng suất trên đồng ruộng và phát hiện sâu bệnh.,Tiêu chuẩn hóa quy trình cấp giấy phép kinh doanh nông nghiệp.,C,Dự đoán năng suất trên đồng ruộng và phát hiện sâu bệnh.,
31,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,Năng lực đầu tiên và cơ bản nhất mà bất kỳ ai sống và làm việc trong môi trường AI phải có là gì?,Lỗi Thời gian chạy (Runtime Errors),Năng lực nhận ra AI (AI Recognition).,Nén dữ liệu để giảm dung lượng lưu trữ.,Đưa ra quyết định dựa trên điều kiện.,B,Năng lực nhận ra AI (AI Recognition).,
32,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,"""Khả năng thảo luận và phân tích những đặc điểm để tạo nên thực thể 'thông minh', bao gồm sự khác biệt giữa con người, động vật và máy thông minh"" thuộc năng lực nào?",Sinh viên có khả năng lập kế hoạch nội dung chi tiết.,Hiểu biết về sự thông minh (Understanding Intelligence).,Các tệp tin hình ảnh với đuôi mở rộng như JPEG hay PNG,Ẩn danh tính của người gửi để bảo vệ quyền riêng tư.,B,Hiểu biết về sự thông minh (Understanding Intelligence).,
33,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,Năng lực Kiến thức liên ngành (Interdisciplinarity) đòi hỏi nhận ra điều gì?,Sự khác biệt giữa dữ liệu cấu trúc và phi cấu trúc.,Quản lý thời gian sử dụng thiết bị một cách hiệu quả.,"Có nhiều cách để suy nghĩ và phát triển máy ""thông minh"".",Chuỗi các tri thức chuyên sâu tập trung vào một lĩnh vực,C,"Có nhiều cách để suy nghĩ và phát triển máy ""thông minh"".",
34,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,Công nghệ AI hẹp (Narrow AI) mô phỏng theo trí thông minh của con người trong phạm vi nào?,Nhiều lĩnh vực khác nhau.,Tầm cỡ toàn cầu.,Một lĩnh vực cụ thể.,"""lỗi wifi win 11""",C,Một lĩnh vực cụ thể.,
35,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,Năng lực xác định được các ưu điểm và nhược điểm của công nghệ AI được gọi là gì?,Điểm mạnh và điểm yếu của AI.,Năng lực đánh giá rủi ro.,Dùng nhiều biểu tượng cảm xúc,Năng lực quản lý dự án.,A,Điểm mạnh và điểm yếu của AI.,
36,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,"""Hình dung được các ứng dụng khả thi trong tương lai của AI và đánh giá được tác động của các ứng dụng đó đối với thế giới"" thuộc năng lực nào?",Năng lực giải quyết vấn đề số.,Để thiết kế các font chữ độc đáo.,Hình dung được tương lai của AI.,Năng lực quản lý danh tính số.,C,Hình dung được tương lai của AI.,
37,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,Năng lực trình bày trong AI liên quan đến việc gì?,Cho phép nhiều người cùng chỉnh sửa trực tiếp mà không cần trao đổi,Các công ty công nghệ không có khả năng lưu trữ lượng lớn dữ liệu.,Biểu diễn tri thức và trình bày các sơ đồ/mô hình biểu diễn tri thức.,Trồng được các loại cây trồng mới không phù hợp với điều kiện địa phương.,C,Biểu diễn tri thức và trình bày các sơ đồ/mô hình biểu diễn tri thức.,
38,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,Năng lực ra quyết định trong AI liên quan đến việc gì?,Tốc độ mã hóa và giải mã chậm hơn so với thuật toán bất đối xứng.,Nhận biết và mô tả về cách máy tính lập luận và đưa ra quyết định.,Kết nối các máy tính và thiết bị khác trong một mạng lưới cục bộ.,Tháo dỡ các thiết bị cũ để lấy các linh kiện còn sử dụng được.,B,Nhận biết và mô tả về cách máy tính lập luận và đưa ra quyết định.,
39,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,Hiểu các bước liên quan đến học máy (Machine Learning) thuộc năng lực nào?,Tổ chức các cuộc thi khoa học cho sinh viên.,Năng lực hiểu biết về các bước học máy trong AI.,Năng lực phân tích dữ liệu thời gian thực.,Tạo ra các khu bảo tồn ảo để động vật sinh sống.,B,Năng lực hiểu biết về các bước học máy trong AI.,
40,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,Vai trò của con người trong AI được thể hiện qua các khía cạnh nào?,Dữ liệu có thể truy cập được bởi người dùng được ủy quyền.,Các thành viên làm việc cùng nhau tại cùng một thời điểm,Máy tính cá nhân (PC) và máy tính xách tay (laptop).,"Lập trình, lựa chọn mô hình và tinh chỉnh hệ thống AI.",D,"Lập trình, lựa chọn mô hình và tinh chỉnh hệ thống AI.",
41,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,Khái niệm cơ bản về kiến thức dữ liệu và vai trò của dữ liệu đối với các hệ thống AI thuộc năng lực nào?,Năng lực giao tiếp.,Kiến thức về dữ liệu.,Năng lực quản lý tri thức.,Năng lực suy diễn.,B,Kiến thức về dữ liệu.,
42,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,Năng lực Học từ dữ liệu đòi hỏi nhận ra điều gì?,Sắp xếp dữ liệu theo thứ tự alphabet.,Các thuật toán luôn chính xác tuyệt đối.,Máy tính thường học hỏi từ dữ liệu.,Dữ liệu luôn cần phải được mã hóa.,C,Máy tính thường học hỏi từ dữ liệu.,
43,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,Năng lực về việc học từ dữ liệu nhấn mạnh vào quy trình nào?,"Sử dụng tính năng ""Comment"" hoặc ""Suggesting"" để đề xuất sửa đổi và tag người liên quan",Quy trình học từ dữ liệu của các hệ thống AI để làm giàu thêm trí tuệ của máy tính.,"Mật mã học là một kỹ thuật cũ, trong khi steganography là một kỹ thuật hiện đại.",Kẻ tấn công tìm kiếm định nghĩa của các từ liên quan đến người dùng để đoán mật khẩu.,B,Quy trình học từ dữ liệu của các hệ thống AI để làm giàu thêm trí tuệ của máy tính.,
44,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,Tại sao cần huấn luyện hệ thống AI trên tập dữ liệu sạch?,Khuyến khích người tiêu dùng liên tục mua các sản phẩm mới để thúc đẩy kinh tế.,Làm cho việc lưu trữ dữ liệu trở nên kém an toàn hơn do phải phụ thuộc vào bên thứ ba.,Vì chất lượng của tập dữ liệu ban đầu có thể ảnh hưởng đến kết quả của thuật toán.,Việc tái chế một sản phẩm lại tốn nhiều năng lượng hơn là sản xuất một sản phẩm mới.,C,Vì chất lượng của tập dữ liệu ban đầu có thể ảnh hưởng đến kết quả của thuật toán.,
45,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,Năng lực Hành động & Phản ứng trong AI là gì?,Tải tất cả dữ liệu của mình lên đám mây để giải phóng dung lượng trên thiết bị cá nhân.,"Sử dụng tính năng ""Comment"" hoặc ""Suggesting"" để đề xuất sửa đổi và tag người liên quan",Hiểu rằng một số hệ thống AI có khả năng hành động theo những gì nó cảm nhận từ môi trường.,Thông tin đã được cố tình che giấu và không thể truy cập qua trình duyệt web tiêu chuẩn.,C,Hiểu rằng một số hệ thống AI có khả năng hành động theo những gì nó cảm nhận từ môi trường.,
46,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,Hệ thống AI nhận biết thế giới bằng cách nào?,Trồng được các loại cây trồng mới không phù hợp với điều kiện địa phương.,Tranh luận công khai trên kênh chat chung cho đến khi có người thắng cuộc,Bằng cách sử dụng cảm biến để cảm nhận các tác nhân từ môi trường xung quanh.,Kẻ tấn công cài đặt phần mềm gián điệp để ghi lại mật khẩu khi người dùng gõ.,C,Bằng cách sử dụng cảm biến để cảm nhận các tác nhân từ môi trường xung quanh.,
47,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,"Để làm việc trong lĩnh vực Phân tích dữ liệu lớn (BDA), kỹ năng chuyên môn nào sau đây là quan trọng?",Thêm nhiều bước không cần thiết vào quy trình,Chuyển tiếp email cho đồng nghiệp để hỏi ý kiến,Trực quan hóa dữ liệu (Data visualization).,Việc giao tiếp với bạn bè qua mạng xã hội,C,Trực quan hóa dữ liệu (Data visualization).,
48,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,"Năng lực nào đòi hỏi hiểu được quy trình huấn luyện trên tập dữ liệu sạch, kiểm thử và tinh chỉnh mô hình?","Text, Resolution, Audio, Speed",Một bản cập nhật của hệ điều hành,Năng lực về Hành động & Phản ứng.,Năng lực suy diễn từ dữ liệu.,D,Năng lực suy diễn từ dữ liệu.,
49,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,Năng lực nào của người lao động trong lĩnh vực BDA được xem là cực kỳ quan trọng do tính đa ngành của công việc?,Đề xuất các khóa học trực tuyến phù hợp.,Tin vào thông tin trái ngược niềm tin,Thay thế cho phần mềm diệt virus,Năng lực xã hội (kỹ năng con người).,D,Năng lực xã hội (kỹ năng con người).,
50,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,Khung năng lực số DigCompEdu của châu Âu được thiết kế cho đối tượng nào?,Khả năng tạo ra nội dung đa phương tiện.,Tài liệu phải được viết cách đây rất lâu,Các nhà giáo dục ở tất cả các mức giáo dục.,Việc giao tiếp với bạn bè qua mạng xã hội,C,Các nhà giáo dục ở tất cả các mức giáo dục.,
51,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,"Để trở thành chuyên gia AI, kiến thức chuyên môn về Toán học nào là cần thiết?",Kết hợp nhiều đoạn nội dung lại với nhau,"Đại số, xác suất, thống kê và đồ thị.",Thông tin đúng được chia sẻ sai thời điểm,Chỉ đọc mà không bao giờ tương tác,B,"Đại số, xác suất, thống kê và đồ thị.",
52,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,Kỹ năng chuyên sâu nào sau đây là yêu cầu cho chuyên gia AI?,Chỉ tập trung vào việc mã hóa tất cả dữ liệu để ngăn chặn truy cập trái phép.,"Lọc thay đổi thứ tự các dòng, còn Sắp xếp chỉ hiển thị dữ liệu thỏa điều kiện",Thành thạo các thuật toán Học máy (Machine Learning) và Học sâu (Deep Learning).,Cảnh cáo và gửi thông báo yêu cầu kỷ luật về địa phương hoặc cơ quan chủ quản,C,Thành thạo các thuật toán Học máy (Machine Learning) và Học sâu (Deep Learning).,
53,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,Công nghệ lõi nào được VAIS sử dụng để chuyển giọng nói tiếng Việt thành văn bản?,Text To Speech.,Speech To Text.,Filter by condition,Gửi email hàng loạt,B,Speech To Text.,
54,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,VBEE là nền tảng công nghệ lõi gì đối với tiếng Việt?,Giả danh một nhân vật có quyền uy để ra lệnh cho nạn nhân.,Chuyển văn bản thành giọng nói trí tuệ nhân tạo có cảm xúc.,Mua bán dữ liệu cá nhân bị đánh cắp trên các diễn đàn ngầm.,Thay thế toàn bộ hệ thống dây điện cũ bằng dây điện mới.,B,Chuyển văn bản thành giọng nói trí tuệ nhân tạo có cảm xúc.,
55,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,Google Cloud Platform cung cấp dịch vụ nào hỗ trợ phát triển ứng dụng AI?,"Do router quá nóng, cần tắt đi",Study – Integrate – Filter – Track,Cloud Machine Learning Engine.,Theo dõi nguồn gốc sản phẩm.,C,Cloud Machine Learning Engine.,
56,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,"Trong kiến trúc phân tích dữ liệu thời gian thực (Realtime Data Analytics), lớp nào bao gồm các ứng dụng của người dùng cuối?",Tốc độ phản hồi nhanh chóng,Lớp Phân tích (Analytics).,Lớp Tích hợp (Integration).,Lớp Quyết định (Decisions).,D,Lớp Quyết định (Decisions).,
57,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,Các công cụ phân tích dữ liệu phổ biến bao gồm những công cụ nào sau đây?,Mỗi khi bạn muốn sử dụng tác phẩm của người khác.,"R Programming, Apache Hadoop, Apache Storm, MongoDB.",Sẵn sàng trả tiền để bảo vệ quyền riêng tư của mình.,Phản hồi chính sách thông qua cổng thông tin điện tử,B,"R Programming, Apache Hadoop, Apache Storm, MongoDB.",
58,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,"Trong phân tích dữ liệu lớn (Big Data Analytics), người lao động cần kỹ năng gì liên quan đến kinh doanh?",Kẻ tấn công sử dụng một chìa khóa đa năng để bẻ khóa mã.,Am hiểu lĩnh vực kinh doanh và các công cụ Big Data.,Không can thiệp vào các cuộc trò chuyện song song,Tạo ra rô bốt có khả năng di chuyển và tương tác vật lý.,B,Am hiểu lĩnh vực kinh doanh và các công cụ Big Data.,
59,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,Phân tích dữ liệu thời gian thực là ứng dụng các kỹ thuật nào để phát hiện các mẫu và tri thức từ dữ liệu theo thời gian thực?,Các kim loại có tính chất hóa học đối kháng nhau và không thể được sử dụng cùng lúc trong một thiết bị.,"Khai phá dữ liệu (Data Mining), Máy học (Machine Learning) và Trí tuệ nhân tạo (Artificial Intelligence).","Misinformation được lan truyền qua email, trong khi Disinformation được lan truyền qua mạng xã hội.","Misinformation là thông tin sai về khoa học, trong khi Disinformation là thông tin sai về chính trị.",B,"Khai phá dữ liệu (Data Mining), Máy học (Machine Learning) và Trí tuệ nhân tạo (Artificial Intelligence).",
60,Module 6. Ứng dụng trí tuệ nhân tạo,6,3,"Trong lĩnh vực tài chính thông minh, ứng dụng AI có thể giúp phát hiện các mối đe dọa nào?",Tự động hóa hoàn toàn việc thu hoạch mùa màng.,Quyền không cần cung cấp thông tin trung thực,Gian lận và hoạt động giao dịch bất hợp pháp.,Giám sát và góp ý một cách có trách nhiệm,C,Gian lận và hoạt động giao dịch bất hợp pháp.,
61,Module 6. Ứng dụng trí tuệ nhân tạo,6,3,Các thư viện (libraries) nào sau đây được sử dụng phổ biến trong lập trình AI/Machine Learning?,"Laravel, Django, Ruby on Rails.","Bootstrap, JQuery, Vue.js.","AutoCAD, SAP, Salesforce.","NumPy, Pandas, Scikit-Learn.",D,"NumPy, Pandas, Scikit-Learn.",
